"","id","arena","n_trial","behaviour2","type","hp_presence","duration_test","duration","prop_duration"
"254","ledy55",4,1,"ef","NS","n",1201,90,0.0749375520399667
"255","ledy57",4,1,"ef","NS","n",1201,21,0.0174854288093256
"256","lema02",4,1,"ef","NS","n",1201,112,0.093255620316403
"257","ledy44",1,2,"ef","NS","n",1201,175,0.14571190674438
"258","leon01",1,2,"ef","NS","n",1201,49,0.0407993338884263
"259","lebo08",2,2,"ef","NS","n",1201,505,0.420482930890924
"260","lehan03",2,2,"ef","NS","n",1201,6,0.00499583680266445
"261","lehan04",2,2,"ef","NS","n",1201,71,0.0591174021648626
"262","ledo05",3,2,"ef","NS","n",1201,51,0.0424646128226478
"263","ledu06",3,2,"ef","NS","n",1201,12,0.00999167360532889
"264","ledy01",3,2,"ef","NS","n",1201,21,0.0174854288093256
"265","ledy15",3,2,"ef","NS","n",1201,38,0.0316402997502082
"266","ledy16",3,2,"ef","NS","n",1201,162,0.13488759367194
"267","lewa01",3,2,"ef","NS","n",1201,14,0.0116569525395504
"268","ledy14",4,2,"ef","NS","n",1201,177,0.147377185678601
"269","ledy41",4,2,"ef","NS","n",1201,16,0.0133222314737719
"270","ledy55",4,2,"ef","NS","n",1201,66,0.0549542048293089
"271","lema02",4,2,"ef","NS","n",1201,13,0.0108243130724396
"272","ledy44",1,3,"ef","NS","n",1201,13,0.0108243130724396
"273","ledy01",3,3,"ef","NS","n",1201,38,0.0316402997502082
"274","ledy16",3,3,"ef","NS","n",1201,74,0.0616153205661948
"275","lebe01",4,3,"ef","NS","n",1201,124,0.103247293921732
"276","ledy09",4,3,"ef","NS","n",1201,28,0.0233139050791007
"277","ledy10",4,3,"ef","NS","n",1201,6,0.00499583680266445
"278","ledy44",1,4,"ef","NS","n",1201,118,0.0982514571190675
"279","ledy09",4,4,"ef","NS","n",1201,8,0.00666111573688593
"280","ledy10",4,4,"ef","NS","n",1201,307,0.255620316402997
"281","ledy14",4,4,"ef","NS","n",1201,111,0.0924229808492923
"282","ledy55",4,4,"ef","NS","n",1201,16,0.0133222314737719
"283","ledy44",1,5,"ef","NS","n",1201,7,0.00582847626977519
"284","ledy09",2,5,"ef","NS","n",1201,5,0.00416319733555371
"285","lebo08",3,5,"ef","NS","n",1201,11,0.00915903413821815
"286","lebe01",4,5,"ef","NS","n",1201,299,0.248959200666112
"287","ledy14",4,5,"ef","NS","n",1201,143,0.119067443796836
"288","ledy14",2,5,"ef","NS","n",1201,41,0.0341382181515404
"289","ledy34",3,1,"fe","NS","n",1201,182,0.151540383014155
"290","leon01",1,1,"nf","NS","n",1201,44,0.0366361365528726
"291","leon02",1,1,"nf","NS","n",1201,6,0.00499583680266445
"292","lebo08",2,1,"nf","NS","n",1201,52,0.0432972522897585
"293","ledy18",2,1,"nf","NS","n",1201,42,0.0349708576186511
"294","ledy44",2,1,"nf","NS","n",1201,181,0.150707743547044
"295","lefe02",2,1,"nf","NS","n",1201,12,0.00999167360532889
"296","lehan03",2,1,"nf","NS","n",1201,57,0.0474604496253122
"297","lehan04",2,1,"nf","NS","n",1201,20,0.0166527893422148
"298","levir01",2,1,"nf","NS","n",1201,22,0.0183180682764363
"299","ledo05",3,1,"nf","NS","n",1201,9,0.00749375520399667
"300","ledu06",3,1,"nf","NS","n",1201,16,0.0133222314737719
"301","ledy01",3,1,"nf","NS","n",1201,24,0.0199833472106578
"302","ledy15",3,1,"nf","NS","n",1201,7,0.00582847626977519
"303","ledy16",3,1,"nf","NS","n",1201,97,0.0807660283097419
"304","ledy17",3,1,"nf","NS","n",1201,20,0.0166527893422148
"305","ledy32",3,1,"nf","NS","n",1201,4,0.00333055786844296
"306","ledy34",3,1,"nf","NS","n",1201,12,0.00999167360532889
"307","lewa01",3,1,"nf","NS","n",1201,111,0.0924229808492923
"308","lewa02",3,1,"nf","NS","n",1201,263,0.218984179850125
"309","lebe01",4,1,"nf","NS","n",1201,27,0.02248126561199
"310","ledo1",4,1,"nf","NS","n",1201,6,0.00499583680266445
"311","ledy09",4,1,"nf","NS","n",1201,16,0.0133222314737719
"312","ledy10",4,1,"nf","NS","n",1201,27,0.02248126561199
"313","ledy12",4,1,"nf","NS","n",1201,46,0.0383014154870941
"314","ledy14",4,1,"nf","NS","n",1201,14,0.0116569525395504
"315","ledy19",4,1,"nf","NS","n",1201,62,0.0516236469608659
"316","ledy41",4,1,"nf","NS","n",1201,7,0.00582847626977519
"317","ledy43",4,1,"nf","NS","n",1201,18,0.0149875104079933
"318","ledy55",4,1,"nf","NS","n",1201,19,0.0158201498751041
"319","ledy57",4,1,"nf","NS","n",1201,11,0.00915903413821815
"320","lema01",4,1,"nf","NS","n",1201,5,0.00416319733555371
"321","lema02",4,1,"nf","NS","n",1201,4,0.00333055786844296
"322","levir02",4,1,"nf","NS","n",1201,22,0.0183180682764363
"323","ledy44",1,2,"nf","NS","n",1201,82,0.0682764363030808
"324","leon01",1,2,"nf","NS","n",1201,115,0.0957535387177352
"325","leon02",1,2,"nf","NS","n",1201,3,0.00249791840133222
"326","lebo08",2,2,"nf","NS","n",1201,93,0.0774354704412989
"327","lehan03",2,2,"nf","NS","n",1201,21,0.0174854288093256
"328","lehan04",2,2,"nf","NS","n",1201,45,0.0374687760199834
"329","ledo05",3,2,"nf","NS","n",1201,8,0.00666111573688593
"330","ledu06",3,2,"nf","NS","n",1201,4,0.00333055786844296
"331","ledy01",3,2,"nf","NS","n",1201,3,0.00249791840133222
"332","ledy15",3,2,"nf","NS","n",1201,87,0.0724396336386345
"333","ledy16",3,2,"nf","NS","n",1201,49,0.0407993338884263
"334","lewa01",3,2,"nf","NS","n",1201,13,0.0108243130724396
"335","lewa02",3,2,"nf","NS","n",1201,93,0.0774354704412989
"336","lebe01",4,2,"nf","NS","n",1201,8,0.00666111573688593
"337","ledo1",4,2,"nf","NS","n",1201,23,0.019150707743547
"338","ledy10",4,2,"nf","NS","n",1201,89,0.074104912572856
"339","ledy14",4,2,"nf","NS","n",1201,14,0.0116569525395504
"340","ledy41",4,2,"nf","NS","n",1201,8,0.00666111573688593
"341","ledy55",4,2,"nf","NS","n",1201,24,0.0199833472106578
"342","lema01",4,2,"nf","NS","n",1201,12,0.00999167360532889
"343","lema02",4,2,"nf","NS","n",1201,2,0.00166527893422148
"344","levir02",4,2,"nf","NS","n",1201,40,0.0333055786844296
"345","ledy44",1,3,"nf","NS","n",1201,9,0.00749375520399667
"346","lebo08",3,3,"nf","NS","n",1201,10,0.00832639467110741
"347","ledy01",3,3,"nf","NS","n",1201,9,0.00749375520399667
"348","lewa02",3,3,"nf","NS","n",1201,53,0.0441298917568693
"349","lebe01",4,3,"nf","NS","n",1201,13,0.0108243130724396
"350","ledy09",4,3,"nf","NS","n",1201,83,0.0691090757701915
"351","ledy10",4,3,"nf","NS","n",1201,21,0.0174854288093256
"352","ledy14",4,3,"nf","NS","n",1201,9,0.00749375520399667
"353","ledy41",4,3,"nf","NS","n",1201,13,0.0108243130724396
"354","ledy55",4,3,"nf","NS","n",1201,9,0.00749375520399667
